host_id,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,location_cluster,naming_cluster,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_encoded
21386285,1.34546,103.72309,5,4,0.07,15,365,2,3,True,False,False,92.3061224489796
49915186,1.29974,103.76495,1,0,0.0,1,0,4,1,False,True,False,167.29166666666666
201937875,1.34512,103.72366,2,13,0.99,2,277,2,2,True,False,False,92.3061224489796
39217103,1.30631,103.76292,1,0,0.0,1,0,4,4,False,True,False,167.29166666666666
59551717,1.34671,103.75859,2,41,0.96,1,333,2,3,False,True,False,97.95555555555555
33541399,1.34007,103.6962,1,0,0.0,1,0,2,2,False,True,False,92.3061224489796
9417058,1.38852,103.74184,5,0,0.0,1,152,2,4,False,True,False,95.67391304347827
66406177,1.33714,103.74567,30,0,0.0,274,292,2,3,True,False,False,210.01162790697674
66406177,1.33718,103.74305,30,0,0.0,274,301,2,3,True,False,False,210.01162790697674
228867,1.34859,103.74774,3,6,0.23,7,362,2,3,False,True,False,97.95555555555555
220733620,1.33888,103.69037,1,4,0.52,3,364,2,4,False,True,False,92.3061224489796
146100311,1.34353,103.7317,5,0,0.0,10,365,2,3,False,True,False,210.01162790697674
1204940,1.31698,103.7567,7,0,0.0,1,0,4,1,False,True,False,167.29166666666666
44318193,1.29855,103.76648,3,0,0.0,1,0,4,4,False,True,False,167.29166666666666
66406177,1.33474,103.74257,30,0,0.0,274,336,2,3,True,False,False,210.01162790697674
66443986,1.37782,103.77384,1,1,0.03,1,358,2,4,False,True,False,473.6
104721976,1.31455,103.76755,1,0,0.0,1,0,4,3,False,True,False,167.29166666666666
66406177,1.34183,103.71965,30,0,0.0,274,295,2,3,True,False,False,92.3061224489796
143892668,1.34466,103.7338,5,0,0.0,13,365,2,1,False,True,False,210.01162790697674
21386285,1.33678,103.73758,5,10,0.17,15,348,2,3,False,True,False,210.01162790697674
188430379,1.30488,103.76606,1,0,0.0,1,0,4,2,False,True,False,167.29166666666666
66406177,1.31676,103.75685,20,5,0.22,274,19,4,3,True,False,False,167.29166666666666
60361566,1.3505,103.75507,1,24,0.58,3,334,2,4,False,True,False,97.95555555555555
21386285,1.3424,103.73356,5,4,0.17,15,363,2,3,False,True,False,210.01162790697674
59850672,1.37811,103.73878,2,11,0.27,2,180,2,0,False,True,False,95.67391304347827
81812563,1.31787,103.76953,2,1,0.04,1,0,4,4,False,True,False,167.29166666666666
65737863,1.34718,103.72881,1,3,0.07,1,0,2,4,False,True,False,210.01162790697674
135756776,1.30271,103.76725,6,8,0.39,22,351,4,1,True,False,False,167.29166666666666
92266851,1.37675,103.75031,3,0,0.0,1,345,2,1,False,True,False,95.67391304347827
143892668,1.33496,103.73764,5,3,0.16,13,348,2,3,True,False,False,210.01162790697674
108754336,1.3485,103.74923,30,0,0.0,1,365,2,3,True,False,False,97.95555555555555
86048572,1.32004,103.76335,15,0,0.0,1,0,4,0,False,True,False,167.29166666666666
124827904,1.33518,103.74133,1,1,0.06,6,117,2,3,True,False,False,210.01162790697674
152700388,1.33755,103.74557,1,0,0.0,1,0,2,4,False,True,False,210.01162790697674
21386285,1.34702,103.72274,3,3,0.05,15,365,2,3,False,True,False,92.3061224489796
146100311,1.34547,103.72125,5,3,0.37,10,365,2,1,False,True,False,92.3061224489796
49584057,1.33726,103.74533,3,7,0.88,2,75,2,0,False,True,False,210.01162790697674
257549322,1.39516,103.75185,1,0,0.0,1,83,2,0,False,True,False,95.67391304347827
10463855,1.40158,103.74491,2,12,0.64,3,180,2,4,False,True,False,95.67391304347827
190730356,1.3308,103.73849,1,3,0.34,2,0,2,2,False,True,False,210.01162790697674
122991242,1.31909,103.64656,2,5,0.21,1,89,2,1,True,False,False,10000.0
31498431,1.36634,103.76963,2,33,0.63,1,0,2,0,False,True,False,473.6
