host_id,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,location_cluster,naming_cluster,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_encoded
28022338,1.31097,103.93814,2,0,0.0,1,363,7,3,False,True,False,156.624
52590953,1.30851,103.92457,4,3,0.45,4,325,6,3,True,False,False,156.624
201704887,1.31227,103.94612,1,1,0.08,1,0,7,1,True,False,False,156.624
7644641,1.32111,103.92206,30,5,0.07,3,365,6,1,False,True,False,156.624
251029061,1.3203,103.91217,2,0,0.0,2,10,6,0,False,True,False,156.624
24496358,1.3168,103.91281,3,3,0.07,24,312,6,0,False,True,False,156.624
24496358,1.32415,103.91477,3,0,0.0,24,342,6,0,False,True,False,156.624
16689958,1.34948,103.96321,30,10,0.16,1,362,7,0,False,True,False,107.15384615384616
155745049,1.31452,103.96056,1,38,1.76,6,0,7,1,True,False,False,156.624
163258181,1.32427,103.91534,30,0,0.0,5,365,6,4,False,True,False,156.624
108773366,1.30801,103.91084,1,10,0.69,109,358,6,0,False,True,False,156.624
68059127,1.32342,103.9161,3,0,0.0,21,333,6,0,False,True,False,156.624
15553995,1.3145,103.9065,1,4,0.31,8,271,6,0,False,True,False,156.624
108773366,1.30918,103.91287,1,6,0.46,109,364,6,0,False,True,False,156.624
31731290,1.32395,103.91509,3,48,2.83,5,15,6,2,False,True,False,156.624
33925188,1.34201,103.95231,2,10,0.47,1,0,7,0,False,True,False,107.15384615384616
97865585,1.37749,103.96112,30,0,0.0,1,239,7,3,True,False,False,93.85106382978724
108773366,1.31954,103.91343,6,3,0.47,109,358,6,3,True,False,False,156.624
24954522,1.34441,103.95797,1,4,0.95,1,0,7,2,False,True,False,107.15384615384616
225848884,1.3705,103.94488,30,1,0.16,1,240,7,4,True,False,False,93.85106382978724
108773366,1.30794,103.91297,1,8,0.55,109,358,6,0,False,True,False,156.624
36416351,1.30763,103.91451,30,33,1.25,1,90,6,0,False,True,False,156.624
24496358,1.31857,103.91291,3,4,0.1,24,341,6,0,False,True,False,156.624
21900076,1.3379,103.93474,1,3,0.11,2,0,7,0,False,True,False,156.624
