host_id,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,location_cluster,naming_cluster,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_encoded
16796674,1.43605,103.79861,1,0,0.0,1,0,1,1,False,True,False,86.08695652173913
9764764,1.41597,103.84165,2,45,1.95,1,351,1,2,False,True,False,120.57142857142857
112299696,1.44096,103.82183,7,2,0.06,3,365,1,1,False,True,False,76.9
9478865,1.44622,103.81651,30,0,0.0,1,353,1,4,False,True,False,76.9
28809566,1.44123,103.82224,5,0,0.0,7,365,1,2,False,True,False,76.9
60304127,1.42855,103.79359,2,17,0.43,2,0,1,0,False,True,False,86.08695652173913
48018398,1.42843,103.77711,1,1,0.14,1,88,1,0,False,True,False,86.08695652173913
127785907,1.43129,103.79639,1,0,0.0,1,362,1,1,False,True,False,86.08695652173913
219550151,1.35177,103.81875,7,0,0.0,113,365,0,0,True,False,False,192.6086956521739
39525377,1.43411,103.77708,30,0,0.0,1,240,1,3,False,True,False,86.08695652173913
50961217,1.45265,103.82234,1,0,0.0,1,0,1,1,False,False,True,76.9
86827134,1.4238,103.83583,2,0,0.0,2,155,1,3,True,False,False,120.57142857142857
40248541,1.41221,103.84382,29,0,0.0,6,349,1,0,False,True,False,120.57142857142857
148809201,1.43998,103.82382,7,0,0.0,3,365,1,0,False,True,False,76.9
102027164,1.4478,103.81252,1,0,0.0,2,0,1,0,False,True,False,76.9
31464513,1.35238,103.82039,30,1,0.08,114,358,0,2,True,False,False,192.6086956521739
112299696,1.44186,103.82362,7,0,0.0,3,365,1,0,False,True,False,76.9
25725433,1.4202,103.83683,30,0,0.0,1,35,1,1,False,True,False,120.57142857142857
40657532,1.4316,103.78092,30,0,0.0,1,365,1,3,False,True,False,86.08695652173913
64714179,1.43886,103.83151,1,0,0.0,3,364,1,3,True,False,False,120.57142857142857
225497332,1.43098,103.7915,1,8,2.73,1,177,1,0,False,True,False,86.08695652173913
6632570,1.44059,103.79904,6,0,0.0,4,353,1,2,False,True,False,86.08695652173913
229766055,1.44997,103.83202,2,0,0.0,1,0,1,0,False,True,False,76.9
13326992,1.4295,103.78663,30,13,0.31,1,363,1,3,True,False,False,86.08695652173913
77033921,1.43115,103.78645,5,6,0.17,1,83,1,3,True,False,False,86.08695652173913
73254645,1.42968,103.83659,1,3,2.31,1,0,1,4,True,False,False,120.57142857142857
224649461,1.41912,103.84688,1,2,0.22,1,0,1,3,True,False,False,120.57142857142857
77249917,1.45146,103.81965,1,0,0.0,1,0,1,1,False,True,False,76.9
78080643,1.42582,103.77431,2,7,0.18,2,78,1,2,False,True,False,86.08695652173913
78238544,1.4057,103.82069,1,22,0.81,3,0,1,1,False,True,False,120.57142857142857
258301597,1.42301,103.84674,2,1,0.79,1,343,1,0,False,True,False,120.57142857142857
190297680,1.35279,103.81906,1,1,0.09,1,90,0,1,False,True,False,192.6086956521739
37379638,1.43349,103.84476,1,8,8.0,2,267,1,3,False,True,False,120.57142857142857
70154397,1.41795,103.8369,1,0,0.0,1,0,1,1,False,True,False,120.57142857142857
39811468,1.45007,103.82388,3,1,0.05,1,0,1,1,True,False,False,76.9
12569371,1.42913,103.79922,30,24,0.83,2,365,1,3,True,False,False,86.08695652173913
63207270,1.41608,103.83783,30,2,0.06,1,365,1,0,False,True,False,120.57142857142857
20004233,1.43454,103.82782,30,0,0.0,1,331,1,3,False,True,False,120.57142857142857
12318610,1.41443,103.84137,1,36,1.24,2,330,1,3,False,True,False,120.57142857142857
47526026,1.42562,103.82559,30,12,0.27,2,300,1,0,False,True,False,42.0
57815182,1.44437,103.82355,7,0,0.0,2,365,1,0,False,False,True,76.9
1178636,1.43089,103.7943,30,1,0.06,1,363,1,0,False,True,False,86.08695652173913
78080643,1.42752,103.77418,2,33,1.01,2,30,1,2,False,True,False,86.08695652173913
189630854,1.44328,103.79239,2,0,0.0,2,365,1,0,False,True,False,86.08695652173913
230280001,1.35159,103.81887,4,2,1.3,18,83,0,3,True,False,False,192.6086956521739
12134297,1.35176,103.81967,1,0,0.0,1,365,0,0,False,True,False,192.6086956521739
43109729,1.4055,103.75747,1,0,0.0,1,364,5,1,False,False,True,204.5
238891646,1.35094,103.82007,30,0,0.0,34,364,0,3,True,False,False,192.6086956521739
57815182,1.44495,103.82279,7,0,0.0,2,365,1,1,False,True,False,76.9
90942366,1.41823,103.84698,30,15,1.26,1,89,1,3,True,False,False,120.57142857142857
76464596,1.35148,103.82027,1,0,0.0,1,83,0,1,False,True,False,192.6086956521739
43591543,1.41647,103.83438,7,10,2.29,15,236,1,3,True,False,False,120.57142857142857
35065351,1.44005,103.82372,7,0,0.0,2,365,1,0,False,True,False,76.9
2351356,1.41933,103.84677,6,62,2.0,2,81,1,3,False,True,False,120.57142857142857
75177923,1.44388,103.80937,1,0,0.0,1,0,1,1,False,True,False,86.08695652173913
63321758,1.41996,103.75827,1,0,0.0,4,365,1,0,False,True,False,204.5
40248541,1.4108,103.84319,6,0,0.0,6,352,1,0,False,True,False,120.57142857142857
269348690,1.35314,103.81925,2,4,2.73,3,27,0,0,False,True,False,192.6086956521739
209913841,1.35315,103.81875,20,0,0.0,157,365,0,4,True,False,False,192.6086956521739
26876731,1.41482,103.83226,7,0,0.0,3,364,1,0,False,True,False,120.57142857142857
6632570,1.44001,103.8009,6,4,0.32,4,353,1,2,False,True,False,86.08695652173913
78238544,1.40768,103.81962,1,37,1.28,3,364,1,1,False,True,False,120.57142857142857
68469462,1.43688,103.83398,1,0,0.0,1,0,1,0,False,True,False,120.57142857142857
42260465,1.41633,103.84611,2,15,0.32,1,365,1,0,False,True,False,120.57142857142857
47378904,1.43106,103.77905,1,59,1.95,1,193,1,3,True,False,False,86.08695652173913
35065351,1.44154,103.82393,7,1,0.02,2,364,1,0,False,False,True,76.9
6622262,1.43411,103.79888,2,4,1.85,1,0,1,0,False,True,False,86.08695652173913
